question,reference_answer
Что грозит за нападение на сотрудника полиции при задержании?,"Применение насилия, опасного для жизни или здоровья, в отношении представителя власти в связи с исполнением им своих должностных обязанностей наказывается по части 2 статьи 318 УК РФ лишением свободы на срок до десяти лет. Источник: УК РФ, статья 318."
Какое наказание за разглашение государственной тайны?,"Разглашение государственной тайны при отсутствии признаков государственной измены или шпионажа наказывается по статье 283 УК РФ арестом до шести месяцев, либо лишением свободы до четырех лет с лишением права занимать определенные должности. Источник: УК РФ, статья 283."
Что грозит за вербовку людей в террористическую организацию?,"Вербовка, обучение, вооружение или финансирование террориста наказывается по части 1 статьи 205.1 УК РФ лишением свободы на срок от пяти до десяти лет со штрафом до пятисот тысяч рублей. Источник: УК РФ, статья 205.1."
Как наказывают за организацию незаконной миграции?,"Организация незаконного въезда в Российскую Федерацию иностранных граждан, совершенная организованной группой, наказывается по части 3 статьи 322.1 УК РФ лишением свободы на срок от пяти до десяти лет с ограничением свободы до двух лет. Источник: УК РФ, статья 322.1."
Что грозит за повреждение чужого имущества из хулиганских побуждений?,"Умышленное уничтожение или повреждение чужого имущества из хулиганских побуждений, повлекшее причинение значительного ущерба, наказывается по части 2 статьи 167 УК РФ штрафом до пятидесяти тысяч рублей, либо обязательными работами до четырехсот восьмидесяти часов, либо исправительными работами до двух лет, либо принудительными работами до пяти лет, либо лишением свободы до пяти лет. Источник: УК РФ, статья 167."
Какое наказание за кражу с банковской карты?,"Кража денежных средств с банковского счета квалифицируется по пункту 'г' части 3 статьи 158 УК РФ и наказывается штрафом от ста тысяч до пятисот тысяч рублей, либо принудительными работами до пяти лет, либо лишением свободы до шести лет со штрафом. Источник: УК РФ, статья 158."
Что грозит за незаконное проникновение в чужой дом?,"Незаконное проникновение в жилище против воли проживающего в нем лица наказывается по части 1 статьи 139 УК РФ штрафом до сорока тысяч рублей, либо обязательными работами до трехсот шестидесяти часов, либо исправительными работами до одного года, либо арестом до трех месяцев. Источник: УК РФ, статья 139."
Как наказывают за призывы к экстремизму в интернете?,"Публичные призывы к осуществлению экстремистской деятельности, совершенные с использованием сети Интернет, наказываются по части 2 статьи 280 УК РФ штрафом до трехсот тысяч рублей, либо принудительными работами до трех лет, либо лишением свободы до четырех лет с лишением права занимать определенные должности. Источник: УК РФ, статья 280."
Что грозит за сбыт поддельных денег?,"Сбыт поддельных банковских билетов Центрального банка РФ в крупном размере наказывается по части 1 статьи 186 УК РФ лишением свободы на срок до восьми лет со штрафом. Источник: УК РФ, статья 186."
Какое наказание за угон самолета или корабля?,"Угон воздушного судна, совершенный группой лиц по предварительному сговору, наказывается по части 2 статьи 211 УК РФ лишением свободы на срок от восьми до пятнадцати лет. Источник: УК РФ, статья 211."
Что грозит за захват заложников?,"Захват или удержание лица в качестве заложника, совершенные в отношении заведомо несовершеннолетнего, наказываются по пункту 'д' части 2 статьи 206 УК РФ лишением свободы на срок от восьми до пятнадцати лет. Источник: УК РФ, статья 206."
Как наказывают за организацию преступного сообщества?,"Создание преступного сообщества для совершения тяжких преступлений наказывается по части 1 статьи 210 УК РФ лишением свободы на срок от двенадцати до двадцати лет со штрафом до одного миллиона рублей. Источник: УК РФ, статья 210."
Что грозит за контрабанду наркотиков через границу?,"Контрабанда наркотических средств в особо крупном размере наказывается по части 4 статьи 229.1 УК РФ лишением свободы на срок от пятнадцати до двадцати лет либо пожизненным лишением свободы. Источник: УК РФ, статья 229.1."
Какое наказание за шпионаж в пользу иностранного государства?,"Шпионаж, то есть передача сведений, составляющих государственную тайну, иностранному государству, наказывается по статье 276 УК РФ лишением свободы на срок от десяти до двадцати лет. Источник: УК РФ, статья 276."
Что грозит за геноцид по УК РФ?,"Действия, направленные на полное или частичное уничтожение национальной группы, наказываются по статье 357 УК РФ лишением свободы на срок от двенадцати до двадцати лет либо пожизненным лишением свободы. Источник: УК РФ, статья 357."
Как наказывают за наемничество в вооруженных конфликтах?,"Наемничество, то есть участие наемника в вооруженном конфликте, наказывается по статье 359 УК РФ лишением свободы на срок от трех до семи лет. Источник: УК РФ, статья 359."
Что грозит за публичные призывы к развязыванию агрессивной войны?,"Публичные призывы к развязыванию агрессивной войны наказываются по статье 354 УК РФ штрафом до трехсот тысяч рублей, либо принудительными работами до трех лет, либо лишением свободы до трех лет. Источник: УК РФ, статья 354."
Какое наказание за создание вооруженного формирования?,"Создание незаконного вооруженного формирования наказывается по части 1 статьи 208 УК РФ лишением свободы на срок от десяти до двадцати лет. Источник: УК РФ, статья 208."
Что грозит за хищение радиоактивных материалов?,"Хищение ядерных материалов наказывается по статье 221 УК РФ лишением свободы на срок от трех до семи лет, а при отягчающих обстоятельствах — до двенадцати лет. Источник: УК РФ, статья 221."
Как наказывают за пиратство в открытом море?,"Пиратство, то есть нападение на морское или речное судно, совершенное с применением насилия, наказывается по статье 227 УК РФ лишением свободы на срок от пяти до десяти лет, а при отягчающих обстоятельствах — до пятнадцати лет. Источник: УК РФ, статья 227."
Что грозит за нарушение правил безопасности на ядерных объектах?,"Нарушение правил обращения с ядерными материалами, повлекшее смерть человека, наказывается по части 3 статьи 215.2 УК РФ лишением свободы на срок до семи лет. Источник: УК РФ, статья 215.2."
Какое наказание за террористический акт?,"Совершение взрыва или иных действий, устрашающих население и создающих опасность гибели человека, в целях воздействия на принятие решений органами власти, наказывается по части 1 статьи 205 УК РФ лишением свободы на срок от десяти до пятнадцати лет. Источник: УК РФ, статья 205."
Что грозит за финансирование терроризма?,"Предоставление или сбор средств для финансирования терроризма наказывается по части 1 статьи 205.1 УК РФ лишением свободы на срок от пяти до десяти лет. Источник: УК РФ, статья 205.1."
Как наказывают за прохождение обучения в террористическом лагере?,"Прохождение лицом обучения, заведомо для него проводимого в целях осуществления террористической деятельности, наказывается по статье 205.3 УК РФ лишением свободы на срок от пятнадцати до двадцати лет. Источник: УК РФ, статья 205.3."
Что грозит за организацию массовых беспорядков?,"Организация массовых беспорядков, сопровождавшихся насилием, погромами, поджогами, наказывается по части 1 статьи 212 УК РФ лишением свободы на срок от восьми до пятнадцати лет. Источник: УК РФ, статья 212."
Какое наказание за надругательство над телами умерших?,"Надругательство над телами умерших, совершенное группой лиц из хулиганских побуждений, наказывается по части 2 статьи 244 УК РФ штрафом до ста двадцати тысяч рублей, либо обязательными работами до четырехсот восьмидесяти часов, либо исправительными работами до двух лет, либо принудительными работами до трех лет, либо лишением свободы до трех лет. Источник: УК РФ, статья 244."
Что грозит за похищение человека?,"Похищение человека, совершенное группой лиц по предварительному сговору, наказывается по части 2 статьи 126 УК РФ лишением свободы на срок от пяти до двенадцати лет. Источник: УК РФ, статья 126."
Как наказывают за незаконное лишение свободы?,"Незаконное лишение свободы, не связанное с похищением, совершенное группой лиц, наказывается по части 2 статьи 127 УК РФ ограничением свободы до трех лет, либо принудительными работами до трех лет, либо арестом до шести месяцев, либо лишением свободы до трех лет. Источник: УК РФ, статья 127."
Что грозит за торговлю людьми?,"Торговля людьми, совершенная в целях изъятия органов или тканей, наказывается по пункту 'ж' части 2 статьи 127.1 УК РФ лишением свободы на срок от пяти до десяти лет. Источник: УК РФ, статья 127.1."
Какое наказание за использование рабского труда?,"Использование рабского труда, совершенное лицом с использованием своего служебного положения, наказывается по части 2 статьи 127.2 УК РФ принудительными работами до пяти лет либо лишением свободы на срок до пяти лет. Источник: УК РФ, статья 127.2."
Что грозит за вовлечение несовершеннолетнего в совершение преступления?,"Вовлечение несовершеннолетнего в совершение преступления путем обещаний, обмана или угроз наказывается по части 1 статьи 150 УК РФ лишением свободы на срок до пяти лет. Источник: УК РФ, статья 150."
Как наказывают за доведение несовершеннолетнего до состояния опьянения?,"Доведение несовершеннолетнего до состояния опьянения, совершенное родителем, наказывается по статье 151.2 УК РФ штрафом до пятидесяти тысяч рублей, либо обязательными работами до четырехсот восьмидесяти часов, либо исправительными работами до двух лет, либо ограничением свободы до двух лет. Источник: УК РФ, статья 151.2."
"Что грозит за неисполнение обязанностей по воспитанию ребенка, повлекшее тяжкие последствия?","Неисполнение обязанностей по воспитанию несовершеннолетнего, соединенное с жестоким обращением и повлекшее тяжкие последствия, наказывается по части 2 статьи 156 УК РФ штрафом до ста тысяч рублей, либо принудительными работами до трех лет, либо лишением свободы до трех лет. Источник: УК РФ, статья 156."
Какое наказание за развратные действия без применения насилия?,"Развратные действия без применения насилия в отношении лица, не достигшего двенадцатилетнего возраста, наказываются по пункту 'б' части 4 статьи 135 УК РФ лишением свободы на срок от восьми до пятнадцати лет. Источник: УК РФ, статья 135."
Что грозит за убийство матерью новорожденного ребенка?,"Убийство матерью новорожденного ребенка во время или сразу после родов наказывается по статье 106 УК РФ ограничением свободы до четырех лет, либо принудительными работами до пяти лет, либо лишением свободы до пяти лет. Источник: УК РФ, статья 106."
Как наказывают за причинение смерти по неосторожности?,"Причинение смерти по неосторожности вследствие ненадлежащего исполнения профессиональных обязанностей наказывается по части 2 статьи 109 УК РФ ограничением свободы до трех лет, либо принудительными работами до трех лет, либо лишением свободы на тот же срок. Источник: УК РФ, статья 109."
Что грозит за умышленное причинение тяжкого вреда здоровью?,"Умышленное причинение тяжкого вреда здоровью, опасного для жизни человека, наказывается по части 1 статьи 111 УК РФ лишением свободы на срок до восьми лет. Источник: УК РФ, статья 111."
Какое наказание за умышленное причинение средней тяжести вреда здоровью?,"Умышленное причинение средней тяжести вреда здоровью, не опасного для жизни, наказывается по части 1 статьи 112 УК РФ арестом до шести месяцев, либо ограничением свободы до трех лет, либо принудительными работами до трех лет, либо лишением свободы до трех лет. Источник: УК РФ, статья 112."
Что грозит за умышленное причинение легкого вреда здоровью?,"Умышленное причинение легкого вреда здоровью, вызвавшего кратковременное расстройство здоровья, наказывается по части 1 статьи 115 УК РФ штрафом до сорока тысяч рублей, либо обязательными работами до четырехсот восьмидесяти часов, либо исправительными работами до одного года, либо арестом до четырех месяцев. Источник: УК РФ, статья 115."
Как наказывают за побои?,"Нанесение побоев, причинивших физическую боль, но не повлекших вреда здоровью, наказывается по статье 116 УК РФ штрафом до сорока тысяч рублей, либо обязательными работами до трехсот шестидесяти часов, либо исправительными работами до шести месяцев, либо арестом до трех месяцев. Источник: УК РФ, статья 116."
Что грозит за истязание?,"Истязание, то есть систематическое нанесение побоев, наказывается по части 1 статьи 117 УК РФ ограничением свободы до трех лет, либо принудительными работами до трех лет, либо лишением свободы до трех лет. Источник: УК РФ, статья 117."
Какое наказание за заражение ВИЧ-инфекцией?,"Заражение другого лица ВИЧ-инфекцией лицом, знавшим о наличии у него этой болезни, наказывается по части 1 статьи 122 УК РФ лишением свободы на срок до пяти лет. Источник: УК РФ, статья 122."
Что грозит за оставление в опасности?,"Заведомое оставление без помощи лица, находящегося в опасном для жизни состоянии, если виновный имел возможность оказать помощь, наказывается по статье 125 УК РФ штрафом до восьмидесяти тысяч рублей, либо обязательными работами до трехсот шестидесяти часов, либо исправительными работами до одного года, либо принудительными работами до одного года, либо арестом до трех месяцев. Источник: УК РФ, статья 125."
Как наказывают за неоказание помощи больному?,"Неоказание помощи больному без уважительных причин лицом, обязанным ее оказывать, повлекшее смерть больного, наказывается по части 2 статьи 124 УК РФ лишением свободы до четырех лет. Источник: УК РФ, статья 124."
Что грозит за кражу с незаконным проникновением в жилище?,"Кража, совершенная с незаконным проникновением в жилище, наказывается по пункту 'а' части 3 статьи 158 УК РФ штрафом от ста тысяч до пятисот тысяч рублей, либо принудительными работами до пяти лет, либо лишением свободы до шести лет со штрафом. Источник: УК РФ, статья 158."
Какое наказание за грабеж с применением насилия?,"Грабеж, совершенный с применением насилия, не опасного для жизни или здоровья, наказывается по пункту 'г' части 2 статьи 161 УК РФ принудительными работами до пяти лет либо лишением свободы до семи лет. Источник: УК РФ, статья 161."
Что грозит за разбой с причинением тяжкого вреда здоровью?,"Разбой, совершенный с причинением тяжкого вреда здоровью потерпевшего, наказывается по пункту 'в' части 4 статьи 162 УК РФ лишением свободы на срок от восьми до пятнадцати лет со штрафом. Источник: УК РФ, статья 162."
"Как наказывают за вымогательство, совершенное организованной группой?","Вымогательство, совершенное организованной группой, наказывается по части 3 статьи 163 УК РФ лишением свободы на срок от семи до пятнадцати лет со штрафом. Источник: УК РФ, статья 163."
Что грозит за неправомерное завладение автомобилем без цели хищения?,"Неправомерное завладение автомобилем без цели хищения, совершенное группой лиц по предварительному сговору, наказывается по части 2 статьи 166 УК РФ штрафом до двухсот тысяч рублей, либо принудительными работами до пяти лет, либо лишением свободы до семи лет. Источник: УК РФ, статья 166."
Какое наказание за умышленное уничтожение чужого имущества путем поджога?,"Умышленное уничтожение чужого имущества путем поджога наказывается по части 2 статьи 167 УК РФ принудительными работами до пяти лет либо лишением свободы до пяти лет. Источник: УК РФ, статья 167."
Что грозит за повреждение памятников истории и культуры?,"Уничтожение или повреждение памятников истории, культуры, природных комплексов, взятых под охрану государства, наказывается по статье 243 УК РФ штрафом до трех миллионов рублей, либо принудительными работами до трех лет, либо лишением свободы до трех лет. Источник: УК РФ, статья 243."
"Как наказывают за экологические преступления, повлекшие массовую гибель животных?","Нарушение правил охраны окружающей среды при производстве работ, повлекшее массовую гибель животных, наказывается по части 2 статьи 246 УК РФ штрафом от ста тысяч до пятисот тысяч рублей, либо лишением свободы до пяти лет. Источник: УК РФ, статья 246."
Что грозит за незаконную добычу водных биоресурсов в особо крупном размере?,"Незаконная добыча водных биоресурсов в особо крупном размере наказывается по части 3 статьи 256 УК РФ штрафом от пятисот тысяч до одного миллиона рублей, либо лишением свободы до пяти лет. Источник: УК РФ, статья 256."
Какое наказание за незаконную охоту с применением механического транспорта?,"Незаконная охота с применением механического транспортного средства в особо крупном размере наказывается по части 2 статьи 258 УК РФ штрафом до двухсот тысяч рублей, либо исправительными работами до двух лет, либо лишением свободы до двух лет. Источник: УК РФ, статья 258."
Что грозит за порчу земли?,"Порча земли, повлекшая причинение вреда окружающей среде, совершенная лицом с использованием своего служебного положения, наказывается по части 2 статьи 254 УК РФ штрафом от двухсот тысяч до пятисот тысяч рублей, либо лишением права занимать определенные должности до трех лет, либо лишением свободы до трех лет. Источник: УК РФ, статья 254."
"Как наказывают за нарушение правил дорожного движения, повлекшее смерть человека?","Нарушение правил дорожного движения, повлекшее по неосторожности смерть человека, наказывается по части 3 статьи 264 УК РФ принудительными работами до четырех лет либо лишением свободы до пяти лет с лишением права управлять транспортными средствами. Источник: УК РФ, статья 264."
"Что грозит за нарушение правил эксплуатации транспорта, повлекшее тяжкий вред здоровью?","Нарушение правил эксплуатации транспорта лицом, управляющим транспортным средством, повлекшее по неосторожности причинение тяжкого вреда здоровью, наказывается по части 1 статьи 263 УК РФ ограничением свободы до трех лет, либо принудительными работами до двух лет, либо арестом до шести месяцев, либо лишением свободы до двух лет. Источник: УК РФ, статья 263."
Какое наказание за угон воздушного судна?,"Угон воздушного судна, совершенный группой лиц по предварительному сговору, наказывается по части 2 статьи 211 УК РФ лишением свободы на срок от восьми до пятнадцати лет. Источник: УК РФ, статья 211."
Что грозит за приведение в негодность транспортных средств?,"Приведение в негодность транспортных средств или путей сообщения, повлекшее по неосторожности смерть человека, наказывается по части 2 статьи 267 УК РФ принудительными работами до пяти лет либо лишением свободы до пяти лет. Источник: УК РФ, статья 267."
Как наказывают за государственную измену?,"Государственная измена, то есть шпионаж, выдача государственной тайны либо оказание помощи иностранному государству в проведении враждебной деятельности, наказывается по статье 275 УК РФ лишением свободы на срок от двенадцати до двадцати лет со штрафом. Источник: УК РФ, статья 275."
Что грозит за шпионаж?,"Шпионаж, то есть передача сведений, составляющих государственную тайну, иностранному государству, наказывается по статье 276 УК РФ лишением свободы на срок от десяти до двадцати лет. Источник: УК РФ, статья 276."
Какое наказание за вооруженный мятеж?,"Вооруженный мятеж в целях свержения конституционного строя наказывается по статье 279 УК РФ лишением свободы на срок от двенадцати до двадцати лет. Источник: УК РФ, статья 279."
Что грозит за диверсию?,"Диверсия, то есть разрушение предприятий в целях подрыва экономической безопасности страны, наказывается по статье 281 УК РФ лишением свободы на срок от десяти до пятнадцати лет. Источник: УК РФ, статья 281."
Как наказывают за публичные призывы к осуществлению экстремистской деятельности?,"Публичные призывы к осуществлению экстремистской деятельности, совершенные с использованием сети Интернет, наказываются по части 2 статьи 280 УК РФ штрафом до трехсот тысяч рублей, либо принудительными работами до трех лет, либо лишением свободы до четырех лет с лишением права занимать определенные должности. Источник: УК РФ, статья 280."
Что грозит за возбуждение ненависти либо вражды по национальному признаку?,"Возбуждение ненависти либо вражды по признакам национальности, совершенное с использованием сети Интернет, наказывается по части 2 статьи 282 УК РФ штрафом от трехсот тысяч до пятисот тысяч рублей, либо принудительными работами до пяти лет, либо лишением свободы до пяти лет. Источник: УК РФ, статья 282."
Какое наказание за организацию деятельности экстремистской организации?,"Организация деятельности экстремистской организации наказывается по статье 282.2 УК РФ штрафом до четырехсот тысяч рублей, либо лишением свободы на срок до шести лет. Источник: УК РФ, статья 282.2."
Что грозит за реабилитацию нацизма?,"Реабилитация нацизма, то есть отрицание фактов, установленных приговором Нюрнбергского трибунала, наказывается по статье 354.1 УК РФ штрафом до трех миллионов рублей, либо принудительными работами до трех лет, либо лишением свободы до трех лет. Источник: УК РФ, статья 354.1."
Как наказывают за незаконное изготовление оружия?,"Незаконное изготовление огнестрельного оружия наказывается по статье 223 УК РФ ограничением свободы до трех лет, либо принудительными работами до четырех лет, либо лишением свободы до четырех лет. Источник: УК РФ, статья 223."
Что грозит за хищение оружия?,"Хищение огнестрельного оружия, совершенное группой лиц по предварительному сговору, наказывается по части 2 статьи 226 УК РФ лишением свободы на срок от пяти до десяти лет. Источник: УК РФ, статья 226."
Какое наказание за незаконный оборот наркотических средств в особо крупном размере?,"Незаконный сбыт наркотических средств в особо крупном размере наказывается по части 4 статьи 228.1 УК РФ лишением свободы на срок от десяти до двадцати лет либо пожизненным лишением свободы. Источник: УК РФ, статья 228.1."
Что грозит за склонение к потреблению наркотиков?,"Склонение к потреблению наркотических средств, совершенное в отношении несовершеннолетнего, наказывается по пункту 'а' части 3 статьи 230 УК РФ лишением свободы на срок от десяти до пятнадцати лет. Источник: УК РФ, статья 230."
Как наказывают за незаконное культивирование наркосодержащих растений?,"Незаконное культивирование наркосодержащих растений в особо крупном размере наказывается по части 2 статьи 231 УК РФ штрафом до трехсот тысяч рублей, либо лишением свободы до двух лет. Источник: УК РФ, статья 231."
Что грозит за организацию притона для потребления наркотиков?,"Организация либо содержание притонов для потребления наркотических средств наказывается по статье 232 УК РФ лишением свободы на срок до четырех лет. Источник: УК РФ, статья 232."
Какое наказание за контрабанду оружия?,"Контрабанда огнестрельного оружия, совершенная организованной группой, наказывается по части 3 статьи 226.1 УК РФ лишением свободы на срок от семи до двенадцати лет со штрафом. Источник: УК РФ, статья 226.1."
Что грозит за незаконный экспорт технологий двойного назначения?,"Незаконный экспорт технологий, которые могут быть использованы при создании вооружения, наказывается по статье 189 УК РФ штрафом до одного миллиона рублей, либо лишением свободы до семи лет. Источник: УК РФ, статья 189."
Как наказывают за уклонение от прохождения военной службы?,"Уклонение от призыва на военную службу при отсутствии законных оснований наказывается по статье 328 УК РФ штрафом до двухсот тысяч рублей, либо принудительными работами до двух лет, либо арестом до шести месяцев, либо лишением свободы до двух лет. Источник: УК РФ, статья 328."
Что грозит за дезертирство?,"Дезертирство, то есть самовольное оставление части в целях уклонения от военной службы, наказывается по статье 338 УК РФ лишением свободы на срок до семи лет. Источник: УК РФ, статья 338."
Какое наказание за нарушение уставных правил взаимоотношений между военнослужащими?,"Нарушение уставных правил взаимоотношений между военнослужащими при отсутствии отношений подчиненности, повлекшее тяжкие последствия, наказывается по части 3 статьи 335 УК РФ лишением свободы на срок до пяти лет. Источник: УК РФ, статья 335."
Что грозит за самовольное оставление части?,"Самовольное оставление части, совершенное впервые, наказывается по части 1 статьи 337 УК РФ ограничением свободы до двух лет, либо арестом до шести месяцев, либо лишением свободы до двух лет. Источник: УК РФ, статья 337."
Как наказывают за злостное неповиновение приказу?,"Злостное неповиновение начальнику, совершенное группой лиц, наказывается по части 2 статьи 332 УК РФ лишением свободы на срок до пяти лет. Источник: УК РФ, статья 332."
